ref_label,x,y
Brachy_Blank_scaffolds_len10k (n=2216192),0.570932295265747,4.08114176771304e-14
Brachy_Blank_scaffolds_len10k (n=2216192),0.571983434670715,3.96904464518781e-15
Brachy_Blank_scaffolds_len10k (n=2216192),0.573034574075684,3.90858374300666e-15
Brachy_Blank_scaffolds_len10k (n=2216192),0.574085713480652,8.87040326382021e-11
Brachy_Blank_scaffolds_len10k (n=2216192),0.57513685288562,1.26024414048959e-07
Brachy_Blank_scaffolds_len10k (n=2216192),0.576187992290588,4.00022897148597e-05
Brachy_Blank_scaffolds_len10k (n=2216192),0.577239131695556,0.00229755660563546
Brachy_Blank_scaffolds_len10k (n=2216192),0.578290271100524,0.0123843668905283
Brachy_Blank_scaffolds_len10k (n=2216192),0.579341410505493,0.0167939208687696
Brachy_Blank_scaffolds_len10k (n=2216192),0.580392549910461,0.00369020240478659
Brachy_Blank_scaffolds_len10k (n=2216192),0.581443689315429,0.000164310842937882
Brachy_Blank_scaffolds_len10k (n=2216192),0.582494828720397,0.000636933684338651
Brachy_Blank_scaffolds_len10k (n=2216192),0.583545968125366,0.00101895951371713
Brachy_Blank_scaffolds_len10k (n=2216192),0.584597107530334,0.000348013491205349
Brachy_Blank_scaffolds_len10k (n=2216192),0.585648246935302,3.46983575479276e-05
Brachy_Blank_scaffolds_len10k (n=2216192),0.58669938634027,4.81159365494241e-07
Brachy_Blank_scaffolds_len10k (n=2216192),0.587750525745238,7.55244001532368e-06
Brachy_Blank_scaffolds_len10k (n=2216192),0.588801665150206,0.000513625076490143
Brachy_Blank_scaffolds_len10k (n=2216192),0.589852804555175,0.00337854851021055
Brachy_Blank_scaffolds_len10k (n=2216192),0.590903943960143,0.00680337549435227
Brachy_Blank_scaffolds_len10k (n=2216192),0.591955083365111,0.00340404283151934
Brachy_Blank_scaffolds_len10k (n=2216192),0.593006222770079,0.000505401318740912
Brachy_Blank_scaffolds_len10k (n=2216192),0.594057362175048,7.27153308611855e-06
Brachy_Blank_scaffolds_len10k (n=2216192),0.595108501580016,8.08930895365248e-09
Brachy_Blank_scaffolds_len10k (n=2216192),0.596159640984984,1.65908009240085e-06
Brachy_Blank_scaffolds_len10k (n=2216192),0.597210780389952,0.000120580114391479
Brachy_Blank_scaffolds_len10k (n=2216192),0.59826191979492,0.00137900955161972
Brachy_Blank_scaffolds_len10k (n=2216192),0.599313059199888,0.00594927411284179
Brachy_Blank_scaffolds_len10k (n=2216192),0.600364198604857,0.00967342745371653
Brachy_Blank_scaffolds_len10k (n=2216192),0.601415338009825,0.00219313456355904
Brachy_Blank_scaffolds_len10k (n=2216192),0.602466477414793,3.26594760264913e-05
Brachy_Blank_scaffolds_len10k (n=2216192),0.603517616819761,2.94784957051633e-08
Brachy_Blank_scaffolds_len10k (n=2216192),0.604568756224729,7.74565060145242e-10
Brachy_Blank_scaffolds_len10k (n=2216192),0.605619895629698,8.14034586976723e-07
Brachy_Blank_scaffolds_len10k (n=2216192),0.606671035034666,5.61444874026693e-05
